Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line
2025-12-26 23:49:01,North Florida Ospreys vs. Columbia Lions,North Florida Ospreys,Dec 28 02:00PM ET,2025-12-26 15:24:10 EST,Spread,0.0174794564149809,13.0,0.5320425632110974,14.0,14.0
2025-12-26 23:49:01,Texas Tech Red Raiders vs. Winthrop Eagles,Winthrop Eagles,Dec 28 02:00PM ET,2025-12-26 15:24:10 EST,Spread,0.0105114627326285,16.5,0.5320425632110974,17.5,17.5
2025-12-26 23:49:01,Louisiana Ragin' Cajuns vs. Norfolk St Spartans,Norfolk St Spartans,Dec 28 03:00PM ET,2025-12-26 15:24:10 EST,Spread,0.0281625130495865,0.5,0.5519720368591103,1.0,2.0
2025-12-28T19:32:16.846378+00:00,Sacred Heart Pioneers vs. Merrimack Warriors,Sacred Heart Pioneers,Dec 29 02:00PM ET,2025-12-28 19:23:28 UTC,Moneyline,0.040509084386015,Win,0.5970479241106955,-125.0,-125.0,0.5970479241106955
2025-12-28T19:32:16.846909+00:00,William & Mary Tribe vs. Towson Tigers,William & Mary Tribe,Dec 29 05:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0446479804347867,-3.0,0.5638787496655561,-1.0,-1.0,-5.4
2025-12-28T19:32:16.846960+00:00,William & Mary Tribe vs. Towson Tigers,N/A,Dec 29 05:00PM ET,2025-12-28 19:23:28 UTC,Under,0.0328729849078428,Under,0.5426769064764703,152.5,152.5,146.0
2025-12-28T19:32:16.847219+00:00,Florida Gators vs. Dartmouth Big Green,Dartmouth Big Green,Dec 29 06:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0604251709358326,32.5,0.5796559401666019,35.0,35.0,29.2
2025-12-28T19:32:16.847333+00:00,Youngstown St Penguins vs. Detroit Mercy Titans,Youngstown St Penguins,Dec 29 06:30PM ET,2025-12-28 19:23:28 UTC,Spread,0.0597177524084252,-10.5,0.5671069149700017,-8.5,-8.5,-13.4
2025-12-28T19:32:16.847783+00:00,Robert Morris Colonials vs. Northern Kentucky Norse,Robert Morris Colonials,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0358041207605864,-2.5,0.547999242711806,-1.0,-1.0,-4.7
2025-12-28T19:32:16.848040+00:00,Charleston Cougars vs. Drexel Dragons,Drexel Dragons,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0128117939803281,9.0,0.5320425632110974,10.0,10.0,7.6
2025-12-28T19:32:16.848665+00:00,Elon Phoenix vs. Northeastern Huskies,Elon Phoenix,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0287684734810367,-6.5,0.547999242711806,-5.0,-5.0,-9.1
2025-12-28T19:32:16.848996+00:00,Cleveland St Vikings vs. IUPUI Jaguars,Cleveland St Vikings,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0198474412598779,-4.0,0.5320425632110974,-3.0,-3.0,-5.8
2025-12-28T19:32:16.849042+00:00,Cleveland St Vikings vs. IUPUI Jaguars,N/A,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Over,0.0135277075942725,Over,0.5233316291629,177.0,177.0,182.42
2025-12-28T19:32:16.849360+00:00,Michigan St Spartans vs. Cornell Big Red,Cornell Big Red,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0128117939803281,26.5,0.5320425632110974,27.5,27.5,25.3
2025-12-28T19:32:16.849934+00:00,Hofstra Pride vs. Campbell Fighting Camels,Hofstra Pride,Dec 29 07:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0128117939803281,-11.0,0.5320425632110974,-10.0,-10.0,-12.6
2025-12-28T19:32:16.850199+00:00,Louisiana Tech Bulldogs vs. UTEP Miners,N/A,Dec 29 07:30PM ET,2025-12-28 19:23:28 UTC,Under,0.0173057478467509,Under,0.5388368483252198,128.5,128.5,122.16
2025-12-28T19:32:16.850388+00:00,Northern Iowa Panthers vs. Valparaiso Beacons,N/A,Dec 29 08:00PM ET,2025-12-28 19:23:28 UTC,Under,0.0160381552167401,Under,0.537569255695209,128.0,128.0,120.0
2025-12-28T19:32:16.850873+00:00,Arkansas Razorbacks vs. James Madison Dukes,Arkansas Razorbacks,Dec 29 08:00PM ET,2025-12-28 19:23:28 UTC,Spread,0.0287684734810367,-23.5,0.547999242711806,-22.0,-22.0,-25.5
