Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line,Model Projection
2026-02-09T21:17:03.205287+00:00,Richmond Spiders vs. George Mason Patriots,Richmond Spiders,Feb 10 07:00PM ET,2026-02-09 20:06:58 UTC,Spread,0.0156009054477324,3.5,0.5336731946043589,4.5,4.5,2.0
2026-02-09T21:17:03.206164+00:00,Western Illinois Leathernecks vs. Eastern Illinois Panthers,N/A,Feb 10 08:30PM ET,2026-02-09 20:27:58 UTC,Under,0.011130608835512,Under,0.5233257307867316,132.5,132.5,129.12
2026-02-09T21:17:03.206239+00:00,Western Illinois Leathernecks vs. Eastern Illinois Panthers,Eastern Illinois Panthers,Feb 10 08:30PM ET,2026-02-09 20:27:58 UTC,Spread,0.0124173230244573,-5.0,0.5173678180739623,-4.5,-4.5,-5.199999999999999
2026-02-09T21:17:03.206345+00:00,Utah State Aggies vs. Fresno St Bulldogs,N/A,Feb 10 09:00PM ET,2026-02-09 20:27:58 UTC,Under,0.0108342739454865,Under,0.5300650431762558,150.5,150.5,145.03
2026-02-09T22:15:41.281299+00:00,Utah State Aggies vs. Fresno St Bulldogs,Fresno St Bulldogs,Feb 10 09:00PM ET,2026-02-09 20:27:58 UTC,Spread,0.0128117939803281,18.5,0.5320425632110974,19.5,19.5,16.8
2026-02-09T22:15:41.281884+00:00,LSU Tigers vs. Arkansas Razorbacks,LSU Tigers,Feb 10 09:00PM ET,2026-02-09 20:06:58 UTC,Spread,0.0116588701655339,4.0,0.5320425632110974,3.5,5.0,3.1
2026-02-10T20:18:28.710768+00:00,Maryland Terrapins vs. Iowa Hawkeyes,Iowa Hawkeyes,Feb 11 06:00PM ET,2026-02-10 19:51:44 UTC,Spread,0.0287226995548539,-11.5,0.5336731946043589,,-10.5,-12.45
2026-02-10T20:18:28.712304+00:00,Georgia Tech Yellow Jackets vs. Wake Forest Demon Deacons,N/A,Feb 11 09:00PM ET,2026-02-10 20:13:48 UTC,Under,0.0103555120713323,Under,0.5341650358808562,,158.5,153.1040370604485
2026-02-10T21:20:00.045210+00:00,Wichita St Shockers vs. South Florida Bulls,Wichita St Shockers,Feb 11 07:30PM ET,2026-02-10 20:31:33 UTC,Moneyline,0.0112007519484199,Win,0.5161512469979249,,-102,0.5161512469979249
2026-02-10T22:18:53.447698+00:00,Kent State Golden Flashes vs. Eastern Michigan Eagles,Eastern Michigan Eagles,Feb 11 07:00PM ET,2026-02-10 21:33:36 UTC,Spread,0.0382396940814036,9.0,0.5504348160326231,10.5,10.5,7.25
2026-02-10T22:18:53.448132+00:00,Western Michigan Broncos vs. Toledo Rockets,Western Michigan Broncos,Feb 11 07:00PM ET,2026-02-10 21:33:36 UTC,Spread,0.0131155217815734,6.0,0.547999242711806,7.5,7.5,3.95
2026-02-10T22:18:53.450425+00:00,South Dakota Coyotes vs. North Dakota Fighting Hawks,South Dakota Coyotes,Feb 11 08:00PM ET,2026-02-10 21:33:36 UTC,Spread,0.0270920681615924,-2.5,0.5320425632110974,-1.5,-1.5,-3.55
2026-02-10T23:18:27.370709+00:00,Stetson Hatters vs. Jacksonville Dolphins,Stetson Hatters,Feb 11 07:00PM ET,2026-02-10 22:22:50 UTC,Spread,0.0382396940814036,0.0,0.5504348160326231,1.5,1.5,-1.75
2026-02-10T23:18:27.370759+00:00,Stetson Hatters vs. Jacksonville Dolphins,Stetson Hatters,Feb 11 07:00PM ET,2026-02-10 22:22:50 UTC,Moneyline,0.0358639669878185,Win,0.5076040648961407,114.0,112.0,0.5076040648961407
2026-02-10T23:18:27.373828+00:00,South Dakota Coyotes vs. North Dakota Fighting Hawks,South Dakota Coyotes,Feb 11 08:00PM ET,2026-02-10 21:33:36 UTC,Moneyline,0.0354150197628458,Win,0.5808695652173913,,-120.0,0.5808695652173913
2026-02-10T23:18:27.376082+00:00,Grand Canyon Antelopes vs. New Mexico Lobos,Grand Canyon Antelopes,Feb 11 10:00PM ET,2026-02-10 20:13:48 UTC,Moneyline,0.0100636545715386,Win,0.5575657020735862,,-121.0,0.5575657020735862
2026-02-10T23:18:27.376129+00:00,Grand Canyon Antelopes vs. New Mexico Lobos,N/A,Feb 11 10:00PM ET,2026-02-10 20:13:48 UTC,Under,0.0103555120713323,Under,0.5341650358808562,149.5,149.5,144.655
2026-02-11T01:39:57.613447+00:00,Ball State Cardinals vs. Buffalo Bulls,Buffalo Bulls,Feb 11 07:00PM ET,2026-02-10 22:45:52 UTC,Moneyline,0.0134178121041663,Win,0.5531003517867061,,-117,0.5531003517867061
2026-02-11T04:49:12.893180+00:00,Central Arkansas Bears vs. Bellarmine Knights,Central Arkansas Bears,Feb 11 07:30PM ET,2026-02-11 00:58:45 UTC,Spread,0.0110837320477135,-9.0,0.5160342270972185,-7.5,-8.5,-9.7
2026-02-11T21:16:26.852226+00:00,Charleston Cougars vs. Hofstra Pride,Hofstra Pride,Feb 12 07:00PM ET,2026-02-11 21:01:55 UTC,Moneyline,0.0121980965895189,Win,0.5449083769633507,,-114.0,0.5449083769633507
2026-02-11T21:16:26.852423+00:00,Illinois St Redbirds vs. Valparaiso Beacons,Valparaiso Beacons,Feb 12 07:00PM ET,2026-02-11 20:46:09 UTC,Spread,0.0124173230244573,9.0,0.5173678180739623,,9.5,8.399999999999999
2026-02-11T21:16:26.853170+00:00,Lindenwood Lions vs. Tenn-Martin Skyhawks,Lindenwood Lions,Feb 12 08:30PM ET,2026-02-11 20:46:09 UTC,Spread,0.0191100878082424,0.5,0.5336731946043589,,1.5,-1.55
