Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line,Model Projection
2026-02-02T23:10:35.991295+00:00,Loyola (Chi) Ramblers vs. La Salle Explorers,La Salle Explorers,Feb 03 08:00PM ET,2026-02-02 23:07:43 UTC,Spread,0.0225076131404728,0.5,0.5347027350916924,1.5,1.5,-1.0
2026-02-02T23:10:35.991347+00:00,Loyola (Chi) Ramblers vs. La Salle Explorers,La Salle Explorers,Feb 03 08:00PM ET,2026-02-02 23:07:43 UTC,Moneyline,0.0413588768677621,Win,0.5001130856219709,,118.0,0.5001130856219709
2026-02-02T23:10:35.992493+00:00,Belmont Bruins vs. Drake Bulldogs,Belmont Bruins,Feb 03 09:00PM ET,2026-02-02 23:07:43 UTC,Spread,0.0241897189022821,-12.0,0.547999242711806,-11.5,-10.5,-14.05
2026-02-03T00:37:14.475991+00:00,Eastern Michigan Eagles vs. Akron Zips,Eastern Michigan Eagles,Feb 03 06:30PM ET,2026-02-02 23:07:43 UTC,Spread,0.0234430546115888,10.5,0.5320425632110974,12.5,11.5,9.4
2026-02-03T00:37:14.477940+00:00,Bradley Braves vs. Valparaiso Beacons,Valparaiso Beacons,Feb 03 08:00PM ET,2026-02-02 23:07:43 UTC,Spread,0.0210230513267407,7.5,0.5504348160326231,7.5,9.0,4.85
2026-02-03T00:37:14.480196+00:00,Fresno St Bulldogs vs. UNLV Rebels,Fresno St Bulldogs,Feb 03 11:00PM ET,2026-02-02 23:07:43 UTC,Moneyline,0.0113824284821968,Win,0.5568369739367423,,-120.0,0.5568369739367423
2026-02-03T01:38:50.672935+00:00,Toledo Rockets vs. Kent State Golden Flashes,Toledo Rockets,Feb 03 07:00PM ET,2026-02-02 23:07:43 UTC,Moneyline,0.0119617340275058,Win,0.5574162794820513,,-120,0.5574162794820513
2026-02-03T03:05:43.793838+00:00,Lindenwood Lions vs. SIU-Edwardsville Cougars,N/A,Feb 03 08:30PM ET,2026-02-02 23:07:43 UTC,Under,0.0153486891427978,Under,0.5310871879321442,139.5,141.5,137.01
2026-02-03T22:11:44.718064+00:00,Florida Atlantic Owls vs. Tulsa Golden Hurricane,N/A,Feb 04 07:00PM ET,2026-02-03 21:45:56 UTC,Under,0.0103555120713323,Under,0.5341650358808562,,166.5,161.65
2026-02-03T22:11:44.719499+00:00,Milwaukee Panthers vs. Detroit Mercy Titans,Detroit Mercy Titans,Feb 04 08:00PM ET,2026-02-03 21:18:51 UTC,Spread,0.0241897189022821,4.0,0.547999242711806,,5.5,2.3
2026-02-03T22:11:44.720664+00:00,San Francisco Dons vs. Loyola Marymount Lions,N/A,Feb 04 10:00PM ET,2026-02-03 21:18:51 UTC,Under,0.011130608835512,Under,0.5233257307867316,,142.5,139.26999999999998
2026-02-03T23:11:30.520530+00:00,UNC Asheville Bulldogs vs. South Carolina Upstate Spartans,N/A,Feb 04 06:30PM ET,2026-02-03 22:44:16 UTC,Under,0.011130608835512,Under,0.5233257307867316,,140.5,136.65
2026-02-03T23:11:30.520968+00:00,South Florida Bulls vs. UTSA Roadrunners,South Florida Bulls,Feb 04 07:00PM ET,2026-02-03 22:26:24 UTC,Spread,0.0358041207605864,-27.0,0.547999242711806,-25.5,-25.5,-29.6
2026-02-03T23:11:30.522241+00:00,Delaware Blue Hens vs. Liberty Flames,Delaware Blue Hens,Feb 04 07:00PM ET,2026-02-03 22:26:24 UTC,Spread,0.0124173230244573,11.0,0.5173678180739623,12.5,11.5,10.3
2026-02-03T23:11:30.524263+00:00,Louisiana Tech Bulldogs vs. New Mexico St Aggies,N/A,Feb 04 07:30PM ET,2026-02-03 22:26:24 UTC,Under,0.0162855232275037,Under,0.5511692441577363,136.5,138.5,131.18
2026-02-03T23:11:30.524511+00:00,Sam Houston St Bearkats vs. UTEP Miners,Sam Houston St Bearkats,Feb 04 07:30PM ET,2026-02-03 22:26:24 UTC,Spread,0.0388050281775488,-12.5,0.5671069149700017,-11.5,-10.5,-15.1
2026-02-03T23:11:30.525452+00:00,California Golden Bears vs. Georgia Tech Yellow Jackets,California Golden Bears,Feb 04 08:00PM ET,2026-02-03 21:02:10 UTC,Spread,0.0139702740544709,-9.5,0.5320425632110974,-8.5,-8.5,-10.9
2026-02-04T01:38:19.040192+00:00,American Eagles vs. Bucknell Bison,American Eagles,Feb 04 07:00PM ET,2026-02-04 00:49:38 UTC,Spread,0.01214209412589,-8.5,0.5336731946043589,-7.5,-7.5,-9.5
2026-02-04T01:38:19.040246+00:00,American Eagles vs. Bucknell Bison,American Eagles,Feb 04 07:00PM ET,2026-02-04 00:49:38 UTC,Moneyline,0.0126959644090782,Win,0.7774018467620194,,-325.0,0.7774018467620194
2026-02-04T01:38:19.040727+00:00,Colgate Raiders vs. Army Knights,Colgate Raiders,Feb 04 07:00PM ET,2026-02-04 00:49:38 UTC,Spread,0.0105114627326285,-11.5,0.5320425632110974,-10.5,-10.5,-12.5
2026-02-04T01:38:19.043924+00:00,UMKC Kangaroos vs. South Dakota Coyotes,South Dakota Coyotes,Feb 04 08:00PM ET,2026-02-03 22:26:24 UTC,Moneyline,0.0270464889956015,Win,0.5922638802999494,,-130.0,0.5922638802999494
2026-02-04T01:38:19.044424+00:00,Austin Peay Governors vs. Lipscomb Bisons,Austin Peay Governors,Feb 04 08:00PM ET,2026-02-04 01:34:15 UTC,Moneyline,0.0285076013253556,Win,0.6363507385802576,,-155.0,0.6363507385802576
2026-02-04T01:38:19.044722+00:00,South Carolina St Bulldogs vs. Maryland-Eastern Shore Hawks,South Carolina St Bulldogs,Feb 04 08:00PM ET,2026-02-04 01:34:15 UTC,Spread,0.0259056861482098,2.0,0.5519720368591103,3.5,3.5,-0.4
2026-02-04T17:21:35.023158+00:00,North Carolina Tar Heels vs. Duke Blue Devils,North Carolina Tar Heels,Feb 07 06:30PM ET,2026-02-04 17:02:37 UTC,Spread,0.0110837320477135,5.0,0.5160342270972185,,5.5,4.800000000000001
2026-02-04T21:13:52.473151+00:00,Michigan Wolverines vs. Penn State Nittany Lions,Michigan Wolverines,Feb 05 06:30PM ET,2026-02-04 20:10:56 UTC,Spread,0.0241897189022821,-27.0,0.547999242711806,,-25.5,-28.85
