Capture Time,Game,Team,Game Time,Opening Odds Time,Edge Type,Edge Value,Predicted Outcome,Probability,Opening Line,Current Line,Model Projection
2026-01-26T17:12:17.334146+00:00,Vanderbilt Commodores vs. Kentucky Wildcats,Vanderbilt Commodores,Jan 27 09:00PM ET,2026-01-26 16:45:44 UTC,Spread,0.0110837320477135,-7.0,0.5160342270972185,,-6.5,-7.9
2026-01-26T17:12:17.334201+00:00,Vanderbilt Commodores vs. Kentucky Wildcats,Vanderbilt Commodores,Jan 27 09:00PM ET,2026-01-26 16:45:44 UTC,Moneyline,0.0224121775594737,Win,0.7626719178192141,,-285.0,0.7626719178192141
2026-01-26T19:10:47.948761+00:00,Oklahoma Sooners vs. Arkansas Razorbacks,Arkansas Razorbacks,Jan 27 07:00PM ET,2026-01-26 18:45:40 UTC,Spread,0.0185874780059236,-4.0,0.547999242711806,-2.5,-2.5,-6.1
2026-01-26T23:08:19.604844+00:00,Miami (OH) RedHawks vs. Massachusetts Minutemen,Miami (OH) RedHawks,Jan 27 09:00PM ET,2026-01-26 20:25:03 UTC,Spread,0.0184242042110106,-10.5,0.5638787496655561,-10.5,-8.5,-13.4
2026-01-27T00:32:21.407651+00:00,Akron Zips vs. Toledo Rockets,Akron Zips,Jan 27 07:00PM ET,2026-01-26 20:42:53 UTC,Spread,0.0198474412598779,-13.5,0.5320425632110974,-13.5,-12.5,-14.9
2026-01-27T01:36:48.136435+00:00,Texas Southern Tigers vs. Alabama St Hornets,Texas Southern Tigers,Jan 27 02:00PM ET,2026-01-27 00:47:02 UTC,Moneyline,0.020521572498401,Win,0.5083264505471815,,105,0.5083264505471815
2026-01-27T23:07:32.228784+00:00,Duquesne Dukes vs. St. Bonaventure Bonnies,Duquesne Dukes,Jan 28 07:00PM ET,2026-01-27 23:05:04 UTC,Moneyline,0.0101305444175792,Win,0.6629083221953571,,-188.0,0.6629083221953571
2026-01-27T23:07:32.228918+00:00,Southern Illinois Salukis vs. Northern Iowa Panthers,N/A,Jan 28 07:00PM ET,2026-01-27 23:05:04 UTC,Under,0.0103555120713323,Under,0.5341650358808562,,130.5,125.4
2026-01-28T00:30:46.381929+00:00,Missouri St Bears vs. Sam Houston St Bearkats,Sam Houston St Bearkats,Jan 28 08:00PM ET,2026-01-27 23:24:14 UTC,Spread,0.0241897189022821,1.0,0.547999242711806,,2.5,-1.7000000000000002
2026-01-28T01:36:31.123866+00:00,Florida St Seminoles vs. California Golden Bears,California Golden Bears,Jan 28 07:00PM ET,2026-01-27 21:50:39 UTC,Spread,0.0139702740544709,1.5,0.5320425632110974,1.5,2.5,-0.4
2026-01-28T01:36:31.124848+00:00,Robert Morris Colonials vs. IUPUI Jaguars,N/A,Jan 28 07:00PM ET,2026-01-28 00:44:43 UTC,Over,0.0188920659809246,Over,0.5310871879321442,159.5,159.5,164.444471952661
